Aug 04 2022 18:19:11.358 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.358 [DEBUG] timeliner.TimelineSlider       value = 88412
Aug 04 2022 18:19:11.367 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.367 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.367 [DEBUG] timeliner.TimelineSlider       value = 88543
Aug 04 2022 18:19:11.376 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.376 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.376 [DEBUG] timeliner.TimelineSlider       value = 88673
Aug 04 2022 18:19:11.384 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.385 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.385 [DEBUG] timeliner.TimelineSlider       value = 88803
Aug 04 2022 18:19:11.394 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.394 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.394 [DEBUG] timeliner.TimelineSlider       value = 88934
Aug 04 2022 18:19:11.414 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.414 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.414 [DEBUG] timeliner.TimelineSlider       value = 89064
Aug 04 2022 18:19:11.426 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.426 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.426 [DEBUG] timeliner.TimelineSlider       value = 89195
Aug 04 2022 18:19:11.449 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.449 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.449 [DEBUG] timeliner.TimelineSlider       value = 89325
Aug 04 2022 18:19:11.470 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.470 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.470 [DEBUG] timeliner.TimelineSlider       value = 89455
Aug 04 2022 18:19:11.491 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.491 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.491 [DEBUG] timeliner.TimelineSlider       value = 89586
Aug 04 2022 18:19:11.848 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.848 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.848 [DEBUG] timeliner.TimelineSlider       value = 89325
Aug 04 2022 18:19:11.858 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.858 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.858 [DEBUG] timeliner.TimelineSlider       value = 89064
Aug 04 2022 18:19:11.868 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.868 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.868 [DEBUG] timeliner.TimelineSlider       value = 88673
Aug 04 2022 18:19:11.870 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.870 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.870 [DEBUG] timeliner.TimelineSlider       value = 88151
Aug 04 2022 18:19:11.882 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.883 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.883 [DEBUG] timeliner.TimelineSlider       value = 87630
Aug 04 2022 18:19:11.885 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.885 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.885 [DEBUG] timeliner.TimelineSlider       value = 86978
Aug 04 2022 18:19:11.897 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.897 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.897 [DEBUG] timeliner.TimelineSlider       value = 86456
Aug 04 2022 18:19:11.899 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.900 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.900 [DEBUG] timeliner.TimelineSlider       value = 85543
Aug 04 2022 18:19:11.911 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.911 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.911 [DEBUG] timeliner.TimelineSlider       value = 84761
Aug 04 2022 18:19:11.913 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.913 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.913 [DEBUG] timeliner.TimelineSlider       value = 84370
Aug 04 2022 18:19:11.929 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.929 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.929 [DEBUG] timeliner.TimelineSlider       value = 82544
Aug 04 2022 18:19:11.945 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.946 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.946 [DEBUG] timeliner.TimelineSlider       value = 81631
Aug 04 2022 18:19:11.949 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.949 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.949 [DEBUG] timeliner.TimelineSlider       value = 81240
Aug 04 2022 18:19:11.964 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.964 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.965 [DEBUG] timeliner.TimelineSlider       value = 80588
Aug 04 2022 18:19:11.978 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.978 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.978 [DEBUG] timeliner.TimelineSlider       value = 79936
Aug 04 2022 18:19:11.989 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.989 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.989 [DEBUG] timeliner.TimelineSlider       value = 79415
Aug 04 2022 18:19:12.000 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.000 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.001 [DEBUG] timeliner.TimelineSlider       value = 79284
Aug 04 2022 18:19:12.003 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.003 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.003 [DEBUG] timeliner.TimelineSlider       value = 79023
Aug 04 2022 18:19:12.016 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.016 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.016 [DEBUG] timeliner.TimelineSlider       value = 78893
Aug 04 2022 18:19:12.018 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.018 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.018 [DEBUG] timeliner.TimelineSlider       value = 78763
Aug 04 2022 18:19:12.029 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.029 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.029 [DEBUG] timeliner.TimelineSlider       value = 78632
Aug 04 2022 18:19:12.040 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.040 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.040 [DEBUG] timeliner.TimelineSlider       value = 78371
Aug 04 2022 18:19:12.051 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.052 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.052 [DEBUG] timeliner.TimelineSlider       value = 78110
Aug 04 2022 18:19:12.061 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.061 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.061 [DEBUG] timeliner.TimelineSlider       value = 77980
Aug 04 2022 18:19:12.071 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:12.072 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:12.072 [DEBUG] timeliner.TimelineSlider       value = 77850
Aug 04 2022 18:19:12.082 [DEBUG] timeliner.TimelineSlider       range = 226377
